experiment_name,sigma,noise,eps,top_1_acc_train,top_1_acc_cert,top_1_acc_pred
cifar_expinf_05,0.5,ExpInfNoise,0.7040816326530612,0.12852,0.0765,0.1683
cifar_expinf_05,0.5,ExpInfNoise,0.7346938775510203,0.12852,0.073,0.1683
cifar_expinf_05,0.5,ExpInfNoise,0.7653061224489796,0.12852,0.0696,0.1683
cifar_expinf_05,0.5,ExpInfNoise,0.7959183673469388,0.12852,0.0661,0.1683
cifar_expinf_05,0.5,ExpInfNoise,0.826530612244898,0.12852,0.0615,0.1683
cifar_expinf_05,0.5,ExpInfNoise,0.8571428571428571,0.12852,0.0579,0.1683
cifar_expinf_05,0.5,ExpInfNoise,0.8877551020408163,0.12852,0.0519,0.1683
cifar_expinf_05,0.5,ExpInfNoise,0.9183673469387755,0.12852,0.0465,0.1683
cifar_expinf_05,0.5,ExpInfNoise,0.9489795918367346,0.12852,0.0392,0.1683
cifar_expinf_05,0.5,ExpInfNoise,0.9795918367346939,0.12852,0.0265,0.1683
cifar_expinf_05,0.5,ExpInfNoise,1.010204081632653,0.12852,0.0,0.1683
cifar_expinf_05,0.5,ExpInfNoise,1.0408163265306123,0.12852,0.0,0.1683
cifar_expinf_05,0.5,ExpInfNoise,1.0714285714285714,0.12852,0.0,0.1683
cifar_expinf_05,0.5,ExpInfNoise,1.1020408163265305,0.12852,0.0,0.1683
cifar_expinf_05,0.5,ExpInfNoise,1.1326530612244898,0.12852,0.0,0.1683
cifar_expinf_05,0.5,ExpInfNoise,1.163265306122449,0.12852,0.0,0.1683
cifar_expinf_05,0.5,ExpInfNoise,1.193877551020408,0.12852,0.0,0.1683
cifar_expinf_05,0.5,ExpInfNoise,1.2244897959183674,0.12852,0.0,0.1683
cifar_expinf_05,0.5,ExpInfNoise,1.2551020408163265,0.12852,0.0,0.1683
cifar_expinf_05,0.5,ExpInfNoise,1.2857142857142856,0.12852,0.0,0.1683
cifar_expinf_05,0.5,ExpInfNoise,1.316326530612245,0.12852,0.0,0.1683
cifar_expinf_05,0.5,ExpInfNoise,1.346938775510204,0.12852,0.0,0.1683
cifar_expinf_05,0.5,ExpInfNoise,1.3775510204081631,0.12852,0.0,0.1683
cifar_expinf_05,0.5,ExpInfNoise,1.4081632653061225,0.12852,0.0,0.1683
